locus	length bp	direction	start	stop	NCBI Name	NCBI Locus	NCBI Annotation
dnaA	1353	=>	101	1453	dnaA	CLJU_RS00005	MULTISPECIES: chromosomal replication initiator protein DnaA
dnaN	1104	=>	1710	2813	-	CLJU_RS00010	MULTISPECIES: DNA polymerase III subunit beta
CLJU_c00030	207	=>	2841	3047	yaaA	CLJU_RS00015	MULTISPECIES: S4 domain-containing protein YaaA
recF	1101	=>	3117	4217	recF	CLJU_RS00020	MULTISPECIES: DNA replication/repair protein RecF
CLJU_c00050	264	=>	4236	4499	-	CLJU_RS00025	MULTISPECIES: DUF370 domain-containing protein
gyrB1	1914	=>	4517	6430	gyrB	CLJU_RS00030	MULTISPECIES: DNA topoisomerase (ATP-hydrolyzing) subunit B
gyrA1	2472	=>	6448	8919	gyrA	CLJU_RS00035	MULTISPECIES: DNA gyrase subunit A
CLJU_c00120	504	=>	14599	15102	-	CLJU_RS00060	MULTISPECIES: HDIG domain-containing protein
CLJU_c00130	516	=>	15222	15737	-	CLJU_RS00065	MULTISPECIES: transcription repressor NadR
CLJU_c00140	2718	=>	15783	18500	-	CLJU_RS00070	MULTISPECIES: UPF0182 family protein
CLJU_c00150	1392	=>	18576	19967	-	CLJU_RS00075	MULTISPECIES: FAD-dependent oxidoreductase
CLJU_c00160	351	=>	19983	20333	-	CLJU_RS00080	MULTISPECIES: DUF1667 domain-containing protein
serS	1281	=>	20707	21987	serS	CLJU_RS00085	MULTISPECIES: serine--tRNA ligase
CLJU_c00210	1176	<=	22791	23966	-	CLJU_RS00105	MULTISPECIES: site-specific integrase
CLJU_c00220	564	<=	24696	25259	-	CLJU_RS21180	MULTISPECIES: helix-turn-helix transcriptional regulator
CLJU_c00230	204	=>	25405	25608	-	CLJU_RS00115	MULTISPECIES: helix-turn-helix domain-containing protein
CLJU_c00240	795	=>	25611	26405	-	CLJU_RS21185	MULTISPECIES: Rha family transcriptional regulator
CLJU_c00250	219	=>	26720	26938	-	CLJU_RS00130	MULTISPECIES: helix-turn-helix domain-containing protein
CLJU_c00260	429	=>	26966	27394	-	CLJU_RS00135	MULTISPECIES: hypothetical protein
CLJU_c00270	408	=>	27678	28085	-	CLJU_RS00140	MULTISPECIES: hypothetical protein
CLJU_c00280	180	=>	28156	28335	-	CLJU_RS00145	MULTISPECIES: hypothetical protein
CLJU_c00290	744	=>	28437	29180	-	CLJU_RS00150	MULTISPECIES: hypothetical protein
CLJU_c00300	768	=>	29659	30426			
CLJU_c00310	252	=>	30647	30898	-	CLJU_RS00160	MULTISPECIES: hypothetical protein
CLJU_c00320	423	=>	30921	31343	-	CLJU_RS00165	MULTISPECIES: hypothetical protein
CLJU_c00330	249	=>	31535	31783	-	CLJU_RS00170	MULTISPECIES: hypothetical protein
CLJU_c00340	363	=>	31836	32198	-	CLJU_RS00175	MULTISPECIES: hypothetical protein
CLJU_c00350	906	=>	32430	33335	-	CLJU_RS00180	MULTISPECIES: helix-turn-helix domain-containing protein
CLJU_c00360	525	<=	33507	34031	-	CLJU_RS00185	MULTISPECIES: hypothetical protein
CLJU_c00370	366	=>	34264	34629	-	CLJU_RS00190	MULTISPECIES: hypothetical protein
CLJU_c00380	546	<=	34920	35465	-	CLJU_RS21190	MULTISPECIES: hypothetical protein
CLJU_c00390	864	<=	35488	36351	-	CLJU_RS00200	MULTISPECIES: hypothetical protein
CLJU_c00400	3720	=>	36463	40182	-	CLJU_RS00205	MULTISPECIES: phage tail tape measure protein
CLJU_c00410	837	=>	41230	42066	-	CLJU_RS00210	MULTISPECIES: hypothetical protein
CLJU_c00420	162	<=	42429	42590			
CLJU_c00430	2388	<=	42605	44992	-	CLJU_RS00215	MULTISPECIES: hypothetical protein
CLJU_c00440	324	<=	45052	45375	-	CLJU_RS00220	MULTISPECIES: hypothetical protein
CLJU_c00450	372	<=	45391	45762	-	CLJU_RS00225	MULTISPECIES: hypothetical protein
CLJU_c00460	174	<=	46280	46453			
CLJU_c00470	201	<=	46573	46773	-	CLJU_RS00230	MULTISPECIES: helix-turn-helix transcriptional regulator
CLJU_c00480	1416	=>	47093	48508	-	CLJU_RS00235	MULTISPECIES: IS200/IS605 family element transposase accessory protein TnpB
CLJU_c00490	126	=>	49101	49226			
CLJU_c00500	306	=>	49780	50085	-	CLJU_RS00240	MULTISPECIES: hypothetical protein
CLJU_c00510	555	=>	50432	50986	-	CLJU_RS00245	MULTISPECIES: hypothetical protein
CLJU_c00520	753	=>	50997	51749	-	CLJU_RS00250	MULTISPECIES: hypothetical protein
CLJU_c00530	1110	=>	51770	52879	-	CLJU_RS00255	MULTISPECIES: hypothetical protein
CLJU_c00540	1014	=>	53405	54418	-	CLJU_RS00260	MULTISPECIES: virulence RhuM family protein
CLJU_c00550	207	=>	55060	55266	-	CLJU_RS00265	MULTISPECIES: hypothetical protein
cotF	294	=>	55282	55575	-	CLJU_RS00270	MULTISPECIES: spore coat protein
CLJU_c00570	675	=>	55827	56501	-	CLJU_RS00275	MULTISPECIES: isoprenylcysteine carboxylmethyltransferase family protein
CLJU_c00580	927	=>	56651	57577	-	CLJU_RS00280	MULTISPECIES: MarR family transcriptional regulator
CLJU_c00590	750	<=	57690	58439	-	CLJU_RS00285	MULTISPECIES: IclR family transcriptional regulator
CLJU_c00600	906	=>	58896	59801	-	CLJU_RS00290	MULTISPECIES: dihydrodipicolinate synthase family protein
CLJU_c00610	1974	=>	59867	61840	-	CLJU_RS00295	MULTISPECIES: YjhG/YagF family D-xylonate dehydratase
CLJU_c00620	1350	=>	61887	63236	-	CLJU_RS00300	MULTISPECIES: gluconate permease
CLJU_c00630	603	=>	63436	64038	-	CLJU_RS00305	MULTISPECIES: cupin domain-containing protein
CLJU_c00640	885	=>	64258	65142	-	CLJU_RS00310	MULTISPECIES: AraC family transcriptional regulator
CLJU_c00650	825	<=	65215	66039	-	CLJU_RS00315	MULTISPECIES: Cof-type HAD-IIB family hydrolase
CLJU_c00660	837	<=	66068	66904	-	CLJU_RS00320	MULTISPECIES: class II fructose-bisphosphate aldolase
CLJU_c00670	1434	<=	66930	68363	-	CLJU_RS00325	MULTISPECIES: hydroxyacid dehydrogenase/reductase-like protein
CLJU_c00680	894	<=	68368	69261	-	CLJU_RS00330	MULTISPECIES: 2-hydroxy-3-oxopropionate reductase
psd	894	<=	70572	71465	-	CLJU_RS00340	MULTISPECIES: phosphatidylserine decarboxylase
CLJU_c00720	579	=>	71653	72231	-	CLJU_RS00345	MULTISPECIES: TetR/AcrR family transcriptional regulator
aarF	1566	<=	72240	73805	-	CLJU_RS00350	MULTISPECIES: AarF/ABC1/UbiB kinase family protein
CLJU_c00740	303	<=	73876	74178	-	CLJU_RS00355	MULTISPECIES: hypothetical protein
tadA	438	=>	74528	74965	-	CLJU_RS00365	MULTISPECIES: nucleoside deaminase
CLJU_c00780	744	<=	75164	75907	-	CLJU_RS00375	MULTISPECIES: ABC transporter permease
CLJU_c00790	741	<=	75918	76658	-	CLJU_RS00380	MULTISPECIES: ABC transporter permease
CLJU_c00800	924	<=	76651	77574	-	CLJU_RS00385	MULTISPECIES: ABC transporter ATP-binding protein
CLJU_c00810	924	<=	77732	78655	-	CLJU_RS00390	MULTISPECIES: HAMP domain-containing histidine kinase
CLJU_c00820	702	<=	78657	79358	-	CLJU_RS00395	MULTISPECIES: response regulator transcription factor
CLJU_c00830	213	<=	79351	79563	-	CLJU_RS00400	MULTISPECIES: helix-turn-helix domain-containing protein
dnaX	1662	=>	80282	81943	dnaX	CLJU_RS00410	MULTISPECIES: DNA polymerase III subunit gamma/tau
CLJU_c00860	345	=>	82025	82369	-	CLJU_RS00415	MULTISPECIES: YbaB/EbfC family nucleoid-associated protein
recR	597	=>	82418	83014	recR	CLJU_RS00420	MULTISPECIES: recombination protein RecR
CLJU_c00880	288	=>	83119	83406	-	CLJU_RS00425	MULTISPECIES: DUF2508 family protein
CLJU_c00890	273	=>	83534	83806	bofA	CLJU_RS00430	MULTISPECIES: pro-sigmaK processing inhibitor BofA
sfsA	693	=>	83894	84586	sfsA	CLJU_RS00435	DNA/RNA nuclease SfsA
CLJU_c00910	552	=>	84720	85271	-	CLJU_RS00440	MULTISPECIES: NUDIX domain-containing protein
CLJU_c00920	684	=>	85290	85973	-	CLJU_RS00445	MULTISPECIES: hydrolase
CLJU_c00930	735	=>	86097	86831	-	CLJU_RS00450	"MULTISPECIES: 4Fe-4S ferredoxin, iron-sulfur-binding domain-containing protein"
CLJU_c00940	186	=>	86951	87136	-	CLJU_RS00455	MULTISPECIES: hypothetical protein
CLJU_c00950	189	=>	87163	87351	-	CLJU_RS00460	MULTISPECIES: hypothetical protein
CLJU_c00960	1071	=>	88034	89104	-	CLJU_RS00465	MULTISPECIES: alanine--glyoxylate aminotransferase family protein
CLJU_c00970	927	=>	89125	90051	-	CLJU_RS00470	3-phosphoglycerate dehydrogenase
CLJU_c00980	1251	=>	90063	91313	-	CLJU_RS00475	DUF1015 domain-containing protein
CLJU_c00990	945	=>	91632	92576	-	CLJU_RS00480	MULTISPECIES: GNAT family N-acetyltransferase
CLJU_c01040	495	<=	98167	98661	-	CLJU_RS00505	MULTISPECIES: HD domain-containing protein
CLJU_c01050	693	=>	98780	99472	-	CLJU_RS00510	MULTISPECIES: response regulator transcription factor
CLJU_c01060	1284	=>	99445	100728	-	CLJU_RS00515	MULTISPECIES: HAMP domain-containing histidine kinase
CLJU_c01070	675	=>	100803	101477	-	CLJU_RS00520	MULTISPECIES: ABC transporter ATP-binding protein
CLJU_c01080	2382	=>	101480	103861	-	CLJU_RS00525	MULTISPECIES: ABC transporter permease
CLJU_c01090	1032	=>	104150	105181	-	CLJU_RS00530	MULTISPECIES: M20/M25/M40 family metallo-hydrolase
CLJU_c01100	1008	=>	105172	106179	-	CLJU_RS00535	MULTISPECIES: M42 family peptidase
CLJU_c01110	960	=>	106214	107173	-	CLJU_RS00540	MULTISPECIES: hydrolase
CLJU_c01120	597	<=	107289	107885	-	CLJU_RS00545	MULTISPECIES: uracil-DNA glycosylase
CLJU_c01130	1146	=>	108079	109224	-	CLJU_RS00550	MULTISPECIES: alanine--glyoxylate aminotransferase family protein
CLJU_c01180	744	=>	115121	115864	-	CLJU_RS00575	MULTISPECIES: peptidylprolyl isomerase
CLJU_c01190	1035	<=	115974	117008	-	CLJU_RS00580	MULTISPECIES: galactose mutarotase
araA	1467	<=	117244	118710	araA	CLJU_RS00585	MULTISPECIES: L-arabinose isomerase
araD	702	<=	118733	119434	-	CLJU_RS00590	MULTISPECIES: L-ribulose-5-phosphate 4-epimerase
araB	1605	<=	119493	121097	-	CLJU_RS00595	MULTISPECIES: FGGY-family carbohydrate kinase
CLJU_c01230	1086	=>	121475	122560	-	CLJU_RS00600	MULTISPECIES: GntR family transcriptional regulator
CLJU_c01240	1533	=>	122942	124474	-	CLJU_RS00605	MULTISPECIES: alpha-N-arabinofuranosidase
CLJU_c01250	1380	=>	124508	125887	-	CLJU_RS00610	MULTISPECIES: MFS transporter
CLJU_c01260	987	=>	126345	127331	-	CLJU_RS00615	MULTISPECIES: sugar ABC transporter substrate-binding protein
CLJU_c01270	1500	=>	127423	128922	-	CLJU_RS00620	MULTISPECIES: ATP-binding cassette domain-containing protein
CLJU_c01280	975	=>	128919	129893	-	CLJU_RS00625	MULTISPECIES: ribose ABC transporter permease
npdA	726	<=	135894	136619	-	CLJU_RS00645	MULTISPECIES: NAD-dependent protein deacylase
CLJU_c01340	438	=>	137373	137810	-	CLJU_RS00655	MULTISPECIES: hypothetical protein
CLJU_c01350	921	<=	137935	138855	-	CLJU_RS00660	MULTISPECIES: LD-carboxypeptidase
CLJU_c01360	942	<=	138868	139809	-	CLJU_RS00665	MULTISPECIES: magnesium transporter CorA family protein
CLJU_c01370	213	=>	140114	140326	-	CLJU_RS00670	MULTISPECIES: sigma factor G inhibitor Gin
speA	1449	=>	140305	141753	-	CLJU_RS00675	MULTISPECIES: aminotransferase class V-fold PLP-dependent enzyme
tmk	684	=>	141771	142454	-	CLJU_RS00680	MULTISPECIES: thymidylate kinase
CLJU_c01400	330	=>	142585	142914	-	CLJU_RS00685	MULTISPECIES: hypothetical protein
CLJU_c01410	945	=>	142931	143875	-	CLJU_RS00690	MULTISPECIES: DNA polymerase III subunit delta\'
CLJU_c01420	906	=>	143880	144785	-	CLJU_RS00695	MULTISPECIES: stage 0 sporulation family protein
CLJU_c01430	204	=>	144796	144999	-	CLJU_RS00700	MULTISPECIES: heavy-metal-associated domain-containing protein
CLJU_c01440	174	=>	145245	145418	-	CLJU_RS00705	MULTISPECIES: 4Fe-4S dicluster domain-containing protein
motA1	795	=>	145565	146359	-	CLJU_RS00710	MULTISPECIES: flagellar motor protein
motB1	852	=>	146356	147207	-	CLJU_RS00715	MULTISPECIES: flagellar motor protein MotB
CLJU_c01470	753	=>	147382	148134	-	CLJU_RS00720	MULTISPECIES: tRNA1(Val) (adenine(37)-N6)-methyltransferase
CLJU_c01480	840	=>	148141	148980	rsmI	CLJU_RS00725	MULTISPECIES: 16S rRNA (cytidine(1402)-2\'-O)-methyltransferase
CLJU_c01490	1038	=>	149245	150282	-	CLJU_RS00730	MULTISPECIES: C40 family peptidase
CLJU_c01500	1047	=>	150729	151775	-	CLJU_RS00735	MULTISPECIES: glycoside hydrolase
CLJU_c01510	246	<=	151968	152213	-	CLJU_RS00740	MULTISPECIES: AbrB/MazE/SpoVT family DNA-binding domain-containing protein
CLJU_c01520	1401	=>	152756	154156	-	CLJU_RS00745	MULTISPECIES: CCA tRNA nucleotidyltransferase
CLJU_c01530	654	<=	154356	155009	-	CLJU_RS00750	MULTISPECIES: hypothetical protein
CLJU_c01540	651	<=	155018	155668	-	CLJU_RS00755	MULTISPECIES: PspA/IM30 family protein
CLJU_c01550	516	<=	155684	156199	-	CLJU_RS00760	MULTISPECIES: hypothetical protein
CLJU_c01560	594	=>	156599	157192	-	CLJU_RS00765	MULTISPECIES: DUF1836 domain-containing protein
ispF	480	<=	157325	157804	-	CLJU_RS00770	"MULTISPECIES: 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase"
CLJU_c01580	177	<=	157874	158050			
CLJU_c01590	198	=>	158434	158631			
CLJU_c01600	954	=>	158833	159786	-	CLJU_RS00775	MULTISPECIES: polysaccharide deacetylase
CLJU_c01610	918	=>	159939	160856	-	CLJU_RS00780	polysaccharide deacetylase family protein
CLJU_c01620	321	=>	161121	161441	-	CLJU_RS00785	MULTISPECIES: multidrug efflux SMR transporter
CLJU_c01630	708	=>	161551	162258	-	CLJU_RS00790	MULTISPECIES: B3/4 domain-containing protein
CLJU_c01640	726	=>	162323	163048	-	CLJU_RS00795	radical SAM protein
CLJU_c01650	489	=>	163163	163651	-	CLJU_RS00800	MULTISPECIES: pyridoxamine 5\'-phosphate oxidase family protein
CLJU_c01660	1173	<=	163830	165002	-	CLJU_RS00805	MULTISPECIES: IS110 family transposase
CLJU_c01670	1497	=>	165531	167027	-	CLJU_RS00810	MULTISPECIES: hydrolase
CLJU_c01680	186	<=	167083	167268	-	CLJU_RS00815	MULTISPECIES: hypothetical protein
CLJU_c01690	243	<=	167281	167523	-	CLJU_RS00820	MULTISPECIES: hypothetical protein
CLJU_c01700	576	=>	167704	168279	-	CLJU_RS00825	MULTISPECIES: spore maturation protein
CLJU_c01710	519	=>	168305	168823	-	CLJU_RS00830	MULTISPECIES: spore maturation protein
